Date,close,open,dailyreturn,macd,rsi,k,d,r,before1day,before2day,before3day,before4day,before5day,sentiment
2015-03-04,0.1302365637507557,9596.196405484005,0.0016616066487851,0.652643820819345,0.6619453752861807,0.3916415543445103,0.4608897637398131,0.3916415543445103,0.1292965639106431,0.1290368906802156,0.1302583038351636,0.1348190054578539,0.1306864914764778,0.0
2015-03-05,0.1286675968125354,9626.995947418767,-0.0027688103260385,0.6456053427099218,0.5792766154036538,0.2268661414019793,0.3092538478732448,0.2268661414019792,0.1302365637507557,0.1292965639106431,0.1290368906802156,0.1302583038351636,0.1348190054578539,0.0
2015-03-06,0.1316523148560061,9587.54616349925,0.0052818598302122,0.6463671892357739,0.6826804054172376,0.6455257882837064,0.4361959648428429,0.6455257882837063,0.1286675968125354,0.1302365637507557,0.1292965639106431,0.1290368906802156,0.1302583038351636,0.0
2015-03-09,0.1267765545497539,9616.995845326956,-0.0085829792442673,0.6348455859227587,0.4710732404862347,0.0939837473362353,0.3697547678099709,0.0939837473362353,0.1316523148560061,0.1286675968125354,0.1302365637507557,0.1292965639106431,0.1290368906802156,0.25
2015-03-10,0.1252188602478933,9566.206897341812,-0.0027658051149013,0.6235673966306375,0.4196319948058846,0.1291480269064873,0.1115658871213613,0.1291480269064873,0.1267765545497539,0.1316523148560061,0.1286675968125354,0.1302365637507557,0.1292965639106431,0.0
2015-03-11,0.1244325938618079,9503.237394473996,-0.0013999479589238,0.61459696205273,0.393252948157423,0.2923276607254412,0.2107378438159643,0.2923276607254412,0.1252188602478933,0.1267765545497539,0.1316523148560061,0.1286675968125354,0.1302365637507557,0.0
2015-03-12,0.1287211993486946,9537.186792575205,0.0076465704618233,0.6183681915077603,0.5778485499775746,0.7126939712199487,0.502510815972695,0.7126939712199487,0.1244325938618079,0.1252188602478933,0.1267765545497539,0.1316523148560061,0.1286675968125354,0.0
2015-03-13,0.1277405950123069,9608.39635092072,-0.0017351466107294,0.6183026767920621,0.5348067049451204,0.6165757742436542,0.6646348727318016,0.6165757742436542,0.1287211993486946,0.1244325938618079,0.1252188602478933,0.1267765545497539,0.1316523148560061,0.0
2015-03-16,0.1238277824130423,9583.406907941042,-0.0069356254923307,0.6095928537193794,0.3913150797114071,0.2507940722407502,0.4336849232422022,0.2507940722407501,0.1277405950123069,0.1287211993486946,0.1244325938618079,0.1252188602478933,0.1267765545497539,0.0
2015-03-17,0.1253902503313205,9555.05657009095,0.0027888829849702,0.6078580203297185,0.463740813459528,0.4156108583955912,0.3332024653181707,0.4156108583955912,0.1238277824130423,0.1277405950123069,0.1287211993486946,0.1244325938618079,0.1252188602478933,0.0
2015-03-18,0.1321034503641952,9563.69669735584,0.0119492118571185,0.6215313800527892,0.6781965038625929,1.0,0.7078054291977957,1.0,0.1253902503313205,0.1238277824130423,0.1277405950123069,0.1287211993486946,0.1244325938618079,0.0
2015-03-19,0.1370092902052234,9667.965160803333,0.0086290765656924,0.6400157216806598,0.7703840479506193,0.961924437221994,0.9809622186109968,0.9619244372219938,0.1321034503641952,0.1253902503313205,0.1238277824130423,0.1277405950123069,0.1287211993486946,0.0
