Date,close,high,low,open,volume,dailyreturn,macd,rsi,k,d,r
2015-02-24,9629.326171875,9638.43648186082,9582.345917528575,9582.345917528575,2332200,0.0104790096999705,42.31930592220124,77.71331535212445,96.33164395015832,94.02653811828309,-3.668356049841683
2015-02-25,9699.4951171875,9699.4951171875,9653.72482135382,9655.6750076343,2209800,0.007287004724946,59.290736607616054,82.45137309152602,100.0,98.16582197507915,-0.0
2015-02-26,9622.0556640625,9688.026065891185,9610.545951004016,9687.436224835074,2117000,-0.0079838643341113,56.73021247319048,64.33729443889841,71.25143008809249,85.62571504404625,-28.748569911907506
2015-03-02,9601.31640625,9690.385334518203,9588.316465750846,9665.066114467008,2202800,-0.0021553874282768,49.95416004422077,60.09437889934205,61.093834249622965,66.17263216885773,-38.906165750377035
2015-03-03,9605.7255859375,9642.906079902654,9571.595859265366,9628.015523025584,1882000,0.0004592265790375,44.24438677476792,60.75466995215372,53.0137973135116,57.05381578156728,-46.9862026864884
2015-03-04,9621.6865234375,9635.135680760908,9580.736515156756,9596.196405484005,1910300,0.0016616066487851,40.953355709725656,63.38631110901071,39.16415543445103,46.08897637398132,-60.83584456554897
2015-03-05,9595.0458984375,9630.995929098852,9564.39662474868,9626.995947418767,1921600,-0.0027688103260385,33.651074045808855,55.880978480735095,22.686614140197932,30.92538478732448,-77.31338585980207
2015-03-06,9645.7255859375,9645.7255859375,9574.506183846068,9587.54616349925,2120500,0.0052818598302122,34.44147473043995,65.26880333959505,64.55257882837064,43.61959648428429,-35.447421171629365
2015-03-09,9562.9365234375,9616.995845326956,9549.715881066357,9616.995845326956,1785400,-0.0085829792442673,22.488039441792353,46.05740883470134,9.398374733623536,36.97547678099709,-90.60162526637646
2015-03-10,9536.4873046875,9583.737091793148,9520.287182368227,9566.206897341812,2012200,-0.0027658051149013,10.78714137978386,41.38716024028064,12.914802690648733,11.156588712136134,-87.08519730935127
2015-03-11,9523.13671875,9561.766427263809,9472.497298799462,9503.237394473996,2230500,-0.0013999479589238,1.480493136050427,38.99225895235955,29.232766072544123,21.07378438159643,-70.76723392745588
2015-03-12,9595.9560546875,9607.975530893518,9530.696587922524,9537.186792575205,2358800,0.0076465704618233,5.393069018473398,55.751327255134335,71.26939712199487,50.2510815972695,-28.73060287800513
